lims_backend  | During handling of the above exception, another exception occurred:
lims_backend  | 
lims_backend  | Traceback (most recent call last):
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/template/base.py", line 885, in _resolve_lookup
lims_backend  |     current = getattr(current, bit)
lims_backend  |               ^^^^^^^^^^^^^^^^^^^^^
lims_backend  | AttributeError: 'URLResolver' object has no attribute 'name'
lims_backend  | 
lims_backend  | During handling of the above exception, another exception occurred:
lims_backend  | 
lims_backend  | Traceback (most recent call last):
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/template/base.py", line 891, in _resolve_lookup
lims_backend  |     current = current[int(bit)]
lims_backend  |                       ^^^^^^^^
lims_backend  | ValueError: invalid literal for int() with base 10: 'name'
lims_backend  | 
lims_backend  | During handling of the above exception, another exception occurred:
lims_backend  | 
lims_backend  | Traceback (most recent call last):
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/template/base.py", line 898, in _resolve_lookup
lims_backend  |     raise VariableDoesNotExist(
lims_backend  | django.template.base.VariableDoesNotExist: Failed lookup for key [name] in <URLResolver <URLPattern list> (admin:admin) 'admin/'>
lims_backend  | DEBUG 2026-02-08 05:13:21,532 base 16 130347963706240 Exception while resolving variable 'name' in template 'unknown'.
lims_backend  | Traceback (most recent call last):
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/core/handlers/exception.py", line 55, in inner
lims_backend  |     response = get_response(request)
lims_backend  |                ^^^^^^^^^^^^^^^^^^^^^
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/core/handlers/base.py", line 181, in _get_response
lims_backend  |     callback, callback_args, callback_kwargs = self.resolve_request(request)
lims_backend  |                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/core/handlers/base.py", line 313, in resolve_request
lims_backend  |     resolver_match = resolver.resolve(request.path_info)
lims_backend  |                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/urls/resolvers.py", line 722, in resolve
lims_backend  |     raise Resolver404({"tried": tried, "path": new_path})
