"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","547","A.C.E","35.0 - 114.0","U/L","","Standard","Decimal","0 - 342","35 - 114"
"","548","Total Protein","6.6 - 8.3","g/dl","","Standard","Decimal","0 - 99","6.6 - 8.3"
"","549","Albumin","AdultAge 18-60 years: 3.5 - 5.5Above 60 years: 3.4 - 4.8ChildAge 14-18 years: 3.2 - 4.54days - 14years: 3.8 - 5.4Newborns: 2.8 - 4.4","g/dl","","Standard","Decimal","0 - 99","3.5 - 5.5"
"","550","Globulin","1.8 - 3.4","mg/dl","","Standard","Decimal","0 - 99","1.8 - 3.4"
"","551","A/G Ratio","1.1 - 2.4","","","Standard","Formula","0 - 999","1.1 - 2.4"
"","552","Albumin (24 Hours Urine)","28 - 140","mg/24 Hours","","Standard","Decimal","0 - 420","28 - 140"
"","553","Albumin (Spot Urine)","Less Than 35","mg/dl","","Standard","Decimal","0 - 999","0 - 35"
"","554","Albumin / Creatinine Ratio","Child upto 2 Years: < 0.5Adult & Child > 2 Years: < 0.2","-","","Standard","Decimal","0 - 1.5","0 - 0.5"
"","555","Albumin","3.5 - 5.5","g/dL","","Standard","Decimal","0 - 99","3.5 - 5.5"
"","556","Albumin (Spot Urine)","Less Than 25","mg/dl","","Standard","Decimal","0 - 75","0 - 25"
"","557","Aldolase Serum","1.0 - 7.4","U/L","","Standard","Decimal","0 - 22.2","1 - 7.4"
"","558","Alkaline Phosphatase","Male: 53 - 128, Female: 42 - 98","U/L","","Standard","Decimal","0 - 5000","42 - 128"
"","559","Ammonia","11.20 - 48.20","umol/l","","Standard","Decimal","0 - 144.6","11.2 - 48.2"
"","560","Amylase","Less Than 100","U/L","","Standard","Decimal","0 - 3000","0 - 100"
"","561","Bence jones protein test","","","","Descriptive","Text","0 - 500","0 - 99999"
"","562","Serum Bicarbonate","22 - 29","mmol/L","","Standard","Decimal","0 - 87","22 - 29"
"","563","Bilirubin Conjugated","0 - 0.2","mg/dl","","Standard","Decimal","0 - 99999","0 - 0.2"
"","564","Bilirubin Total","(See below)","mg/dl","","Standard","Decimal","0 - 250","0 - 99999"
"","565","Bilirubin Unconjugated","0.1 - 1.0","mg/dl","","Standard","Formula","0 - 3","0.1 - 1"
"","566","Blood Group","","","","Standard","Text","0 - 250","0 - 99999"
"","567","RH Factor","","","","Standard","List","0 - 250","0 - 99999"
"","568","Urea","15 - 43","mg/dl","","Standard","Decimal","0 - 129","15 - 43"
"","569","Blood Urea Nitrogen (BUN)","8 - 22","mg/dl","","Standard","Decimal","0 - 66","8 - 22"
"","570","C3 (Complement Level 3)","50 - 120","mg/dl","","Standard","Decimal","0 - 360","50 - 120"
"","571","C4 (Complement Level 4)","10-40","mg/dl","","Standard","Decimal","0 - 150","10 - 40"
"","572","C.P.K","Male: 24 - 204Female: 24 - 173","U/L","","Standard","Decimal","0 - 612","24 - 204"
"","573","24 Hours Urinary Calcium","2.50 - 7.50","mmol/24 Hrs","","Standard","Decimal","0 - 22.5","2.5 - 7.5"
"","574","Calcium (Spot Urine)","100 - 300","mg/dl","","Standard","Decimal","0 - 900","100 - 300"
"","575","Calcium","8.6 - 10.3","mg/dl","","Standard","Decimal","0 - 30.9","8.6 - 10.3"
"","576","CKMB","Less Than 25","u/l","","Standard","Decimal","0 - 75","0 - 25"
"","577","L.D.H.","Adult: 240-480Child (7-12)Female: < 580Male: < 764Premature: < 1103","U/L","","Standard","Decimal","0 - 99999","240 - 480"
"","578","SGOT (AST)","Male: < 37Female: < 31","U/l","","Standard","Decimal","0 - 99999","0 - 37"
"","579","Ceruloplasmin (Serum)","30.00 - 65.00","mg/dl","","Standard","Decimal","0 - 195","30 - 65"
"","580","Chloride (Urine)","110 - 250","m.mol/l","","Standard","Decimal","0 - 750","110 - 250"
"","581","Cholinesterase","7.0 - 25.0","um/ml","","Standard","Decimal","0 - 75","7 - 25"
"","582","Copper (Serum)","70.0 - 140.0","µg/dl","","Standard","Decimal","0 - 420","70 - 140"
"","583","Fluid for Bicarbonate","21 - 32","m.mol/l","","Standard","Decimal","0 - 96","21 - 32"
"","584","Gamma GT","Male: 11-50, Female: 07-32","U/L","","Standard","Decimal","0 - 9999","7 - 50"
"","585","Glomerular Filteration Rate (GFR)","(See below)","mL/Min/1.73m^2","","Standard","Decimal","0 - 500","0 - 99999"
"","586","Blood Glucose Fasting","Less Than 92","mg/dl","","Standard","Decimal","0 - 999","0 - 92"
"","587","After 75 Grams Glucose","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","588","Blood Glucose 1 hr.","Less Than 180","mg/dl","","Standard","Decimal","0 - 540","0 - 180"
